INCIDENT_NUMBER,OFFENSE_CODE_GROUP,OCCURRED_ON_DATE,UCR_PART,Lat,Long
I182000585,Larceny,"01/01/2018 00:00","Part One",4.235.547.514,-7.106.051.814
I182005214,"Larceny From Motor Vehicle","01/01/2018 00:00","Part One",4.235.314.550,-7.107.763.936
I182041136,Larceny,"01/01/2018 00:00","Part One",4.233.063.626,-7.105.696.207
I182072846,Larceny,"01/01/2018 00:00","Part One",4.230.149.875,-7.105.071.215
I182073776,"Residential Burglary","01/01/2018 00:00","Part One",4.229.755.533,-7.105.970.910
I182001361,Larceny,"01/01/2018 00:30","Part One",4.234.790.192,-7.107.873.972
I182000493,Larceny,"01/01/2018 01:00","Part One",4.235.375.411,-7.113.225.621
I182000763,"Larceny From Motor Vehicle","01/01/2018 01:30","Part One",4.238.374.886,-7.106.949.131
I182000021,"Auto Theft","01/01/2018 01:44","Part One",4.228.976.255,-7.109.089.843
I182000023,"Auto Theft","01/01/2018 01:50","Part One",4.231.988.591,-7.106.256.311
I182000040,"Aggravated Assault","01/01/2018 02:23","Part One",4.235.040.583,-7.106.512.526
I182000050,"Aggravated Assault","01/01/2018 02:40","Part One",4.235.674.089,-7.105.794.654
I182000047,Larceny,"01/01/2018 02:43","Part One",4.234.947.586,-7.107.640.150
I182000051,"Aggravated Assault","01/01/2018 02:50","Part One",4.231.298.674,-7.110.289.111
I182000069,Robbery,"01/01/2018 03:57","Part One",4.232.962.107,-7.105.763.827
I182000077,"Commercial Burglary","01/01/2018 05:12","Part One",4.230.782.140,-7.108.354.076
I182006785,Larceny,"01/01/2018 07:00","Part One",4.228.079.658,-7.109.039.724
I182000096,"Larceny From Motor Vehicle","01/01/2018 08:07","Part One",4.231.768.581,-7.106.656.219
I182000107,"Larceny From Motor Vehicle","01/01/2018 08:30","Part One",4.227.621.405,-7.116.651.219
I182002024,Larceny,"01/01/2018 10:00","Part One",4.231.993.295,-7.108.157.395
I182000166,Larceny,"01/01/2018 12:00","Part One",4.233.152.148,-7.107.085.307
I182014482,Larceny,"01/01/2018 12:00","Part One",4.233.936.768,-7.107.035.467
I182000145,Larceny,"01/01/2018 13:35","Part One",4.234.862.382,-7.108.277.637
I182000176,Robbery,"01/01/2018 14:22","Part One",4.228.314.714,-7.111.374.152
I182000154,Larceny,"01/01/2018 14:30","Part One",4.235.231.190,-7.106.370.510
I182000161,Robbery,"01/01/2018 14:59","Part One",4.231.584.636,-7.109.824.825
I182000457,"Larceny From Motor Vehicle","01/01/2018 15:00","Part One",4.238.180.833,-7.105.615.420
I182000474,"Larceny From Motor Vehicle","01/01/2018 15:00","Part One",4.227.096.440,-7.114.625.121
I182009509,"Residential Burglary","01/01/2018 15:00","Part One",4.232.955.246,-7.111.112.429
I182000208,Larceny,"01/01/2018 16:40","Part One",4.235.807.523,-7.107.098.132
I182000200,"Aggravated Assault","01/01/2018 16:53","Part One",4.233.962.100,-7.105.533.044
I182000203,Larceny,"01/01/2018 17:58","Part One",4.234.840.576,-7.108.688.339
I182000245,Larceny,"01/01/2018 18:11","Part One",4.234.507.147,-7.108.057.788
I182000217,"Aggravated Assault","01/01/2018 18:25","Part One",4.231.771.534,-7.109.823.049
